task_code,actor_role_code,authority_name,responsibility_notes
DEV_002,APPROVING,"ΥΠΕΝ / ΔΙΠΑ","Classification framework authority; project team records determination with references."
DEV_005,APPROVING,"Δασικές Αρχές (κατά τόπο)","Issue forest act/opinion where triggered."
DEV_006,APPROVING,"Υπουργείο Πολιτισμού / Εφορείες Αρχαιοτήτων","Issue archaeology approvals/opinions where triggered."
ENV_020,APPROVING,"ΥΠΕΝ / ΔΙΠΑ","AEPO dossier content specs / competent authority."
ENV_022,CONSULTING,"Φορείς γνωμοδότησης (κατά περίπτωση)","Consultation bodies issue opinions within AEPO chain."
ENV_023,PUBLISHING,"Διαύγεια/ΦΕΚ/ιστότοπος αρχής","Publish/serve where required; record evidence."
LIC_040,APPROVING,"ΡΑΑΕΥ","Producer certificate regime (as applicable)."
GRID_052,GRID_OPERATOR,"GRID_OPERATOR:DEDDHE","DEDDHE receives connection request."
GRID_053,GRID_OPERATOR,"GRID_OPERATOR:ADMIE","ADMIE receives connection request."
GRID_054,GRID_OPERATOR,"GRID_OPERATOR:DEDDHE/ADMIE","Storage final offer request as applicable."
CONSTR_070,APPROVING,"ΥΔΟΜ / αρμόδιες πολεοδομικές αρχές","Issue building/works permits."
OPER_090,GRID_OPERATOR,"GRID_OPERATOR:DEDDHE/ADMIE","Operational compliance under grid codes."
ADMIN_095,APPROVING,"Αρμόδια Διοικητική Αρχή (κατά περίπτωση)","Track deadlines/silence windows."
PUB_120,PUBLISHING,"Διαύγεια/ΦΕΚ/ιστότοπος αρχής","Record publication evidence."
