task_code,rule_scope,typical_days,p10_days,p90_days,variance_reason,evidence_tag
DEV_001,BASE_000_CORE,2,1,4,"Profile completeness; missing land/grid inputs cause rework.","EVID:expert-judgment"
DEV_002,BASE_000_CORE,5,2,15,"Unclear classification row; mixed-use footprints; iterative clarification.","EVID:expert-judgment"
DEV_003,BASE_000_CORE,7,3,20,"Constraint mapping quality; need for alternate layouts/POI.","EVID:expert-judgment"
DEV_004,BASE_000_CORE,10,5,30,"Data availability for Natura/forest/archaeology; boundary disputes.","EVID:expert-judgment"
DEV_005,LOC_020_FOREST,120,60,270,"Forest status disputes; sequential authority steps.","EVID:expert-judgment"
DEV_006,LOC_030_ARCHAEOLOGY,75,30,180,"Inspection scheduling; findings requiring redesign.","EVID:expert-judgment"
ENV_020,DIM[classification=A1;environmental_regime=AEPO],90,45,180,"Baseline studies + consultant workload.","EVID:lender-IC-benchmark"
ENV_022,DIM[classification=A1;environmental_regime=AEPO],180,120,360,"Opinion cycle delays; multiple revision rounds.","EVID:public-backlog-indicators"
ENV_023,DIM[classification=A1;environmental_regime=AEPO],90,45,240,"Decision queue and admin processing.","EVID:expert-judgment"
ENV_030,ENV_200_PPD_PV,10,5,25,"Checklist compilation; internal QA.","EVID:expert-judgment"
ENV_031,ENV_210_PPD_STORAGE,14,7,35,"Vendor data; fire strategy alignment.","EVID:expert-judgment"
GRID_052,GRID_010_DEDDHE_PV_OR_PV_STORAGE,20,10,45,"Doc pack completeness; guarantee issuance.","EVID:operator-process"
GRID_055,GRID_010_DEDDHE_PV_OR_PV_STORAGE,120,60,240,"Studies iterations; network reinforcement uncertainty.","EVID:public-backlog-indicators"
GRID_056,GRID_010_DEDDHE_PV_OR_PV_STORAGE,90,45,210,"Offer issuance queue.","EVID:public-backlog-indicators"
GRID_059,DIM[capacity_band=MW_1_20;grid_interaction=DEDDHE],240,120,540,"MV/HV works; procurement; outages.","EVID:expert-judgment"
CONSTR_070,DIM[capacity_band=MW_1_20],120,60,270,"Design maturity; authority workload.","EVID:expert-judgment"
CONSTR_072,DIM[project_type=PV;capacity_band=MW_1_20],210,150,330,"Procurement sequencing; weather.","EVID:expert-judgment"
COMM_080,BASE_000_CORE,20,10,45,"Punch list; documentation gaps.","EVID:lender-IC-benchmark"
PUB_120,BASE_000_CORE,2,1,10,"Chasing publication links/IDs; fragmented channels.","EVID:expert-judgment"
